REMOTE_HOST,REMOTE_ADDR,HTTP_REFERER,HTTP_USER_AGENT,REQUEST_TIME,REQUEST_METHOD,HTTPS,REQUEST_URI,QUERY_STRING,HTTP_COOKIE,POST,code,type,errorCode,message,file,line,trace,traces
,::1,http://localhost:84/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",1723827051,GET,,/favicon.ico,,"lat_lng=22.512761_88.3944159; PHPSESSID=ddmfoenbi5jfhtiii654utg2jk; tkrid=fa2d2e4588cbd1407e1fdb424bb0189aa84e1945s%3A32%3A%2203f963cdb4b3fed3458498d2171ecf69%22%3B",,404,CHttpException,0,"Unable to resolve the request ""favicon.ico"".","C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php",286,"#0 C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php(141): CWebApplication->runController('favicon.ico')
#1 C:\Projects\vendors\vendor\yiisoft\yii\framework\base\CApplication.php(185): CWebApplication->processRequest()
#2 C:\Projects\Staging\public_html\index.php(68): CApplication->run()
#3 {main}","[{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\web\\CWebApplication.php"",""line"":141,""function"":""runController"",""class"":""CWebApplication"",""type"":""->"",""args"":[""favicon.ico""]},{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\base\\CApplication.php"",""line"":185,""function"":""processRequest"",""class"":""CWebApplication"",""type"":""->"",""args"":[]},{""file"":""C:\\Projects\\Staging\\public_html\\index.php"",""line"":68,""function"":""run"",""class"":""CApplication"",""type"":""->"",""args"":[]}]"
,::1,http://localhost:84/aaohome/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",1723827061,GET,,/images/logo2_outstation.jpg?v1.0,v1.0,"lat_lng=22.512761_88.3944159; PHPSESSID=ddmfoenbi5jfhtiii654utg2jk; tkrid=fa2d2e4588cbd1407e1fdb424bb0189aa84e1945s%3A32%3A%2203f963cdb4b3fed3458498d2171ecf69%22%3B; YII_CSRF_TOKEN=6f9d7426e411a2aa101496581c6a3f6a47f09cdas%3A88%3A%22V1hkeXBlZm82ekIwQzlEUmZ3RldxSU05em5idnVEZVajfX_CZIf8NMwswChMkchwLWrxlr5VqpbJYTL0I5xV-Q%3D%3D%22%3B",,404,CHttpException,0,"Unable to resolve the request ""images/logo2_outstation.jpg"".","C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php",286,"#0 C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php(141): CWebApplication->runController('images/logo2_ou...')
#1 C:\Projects\vendors\vendor\yiisoft\yii\framework\base\CApplication.php(185): CWebApplication->processRequest()
#2 C:\Projects\Staging\public_html\index.php(68): CApplication->run()
#3 {main}","[{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\web\\CWebApplication.php"",""line"":141,""function"":""runController"",""class"":""CWebApplication"",""type"":""->"",""args"":[""images\/logo2_outstation.jpg""]},{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\base\\CApplication.php"",""line"":185,""function"":""processRequest"",""class"":""CWebApplication"",""type"":""->"",""args"":[]},{""file"":""C:\\Projects\\Staging\\public_html\\index.php"",""line"":68,""function"":""run"",""class"":""CApplication"",""type"":""->"",""args"":[]}]"
,::1,http://localhost:84/aaohome/index/dashboard,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",1723827068,GET,,/images/logo2_outstation.jpg?v1.1,v1.1,"lat_lng=22.512761_88.3944159; tkrid=fa2d2e4588cbd1407e1fdb424bb0189aa84e1945s%3A32%3A%2203f963cdb4b3fed3458498d2171ecf69%22%3B; YII_CSRF_TOKEN=6f9d7426e411a2aa101496581c6a3f6a47f09cdas%3A88%3A%22V1hkeXBlZm82ekIwQzlEUmZ3RldxSU05em5idnVEZVajfX_CZIf8NMwswChMkchwLWrxlr5VqpbJYTL0I5xV-Q%3D%3D%22%3B; PHPSESSID=khujpgk9l768kegplm16ki6bt3; _admin=b15c2e6259db666d8ab7add82162f690b62b5882s%3A98%3A%22b9fef104a610e43f1452e12a49e0ca56547158dfa%3A4%3A%7Bi%3A0%3Bs%3A2%3A%2230%22%3Bi%3A1%3Bs%3A7%3A%22puja.de%22%3Bi%3A2%3Bi%3A1200%3Bi%3A3%3Ba%3A0%3A%7B%7D%7D%22%3B",,404,CHttpException,0,"Unable to resolve the request ""images/logo2_outstation.jpg"".","C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php",286,"#0 C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php(141): CWebApplication->runController('images/logo2_ou...')
#1 C:\Projects\vendors\vendor\yiisoft\yii\framework\base\CApplication.php(185): CWebApplication->processRequest()
#2 C:\Projects\Staging\public_html\index.php(68): CApplication->run()
#3 {main}","[{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\web\\CWebApplication.php"",""line"":141,""function"":""runController"",""class"":""CWebApplication"",""type"":""->"",""args"":[""images\/logo2_outstation.jpg""]},{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\base\\CApplication.php"",""line"":185,""function"":""processRequest"",""class"":""CWebApplication"",""type"":""->"",""args"":[]},{""file"":""C:\\Projects\\Staging\\public_html\\index.php"",""line"":68,""function"":""run"",""class"":""CApplication"",""type"":""->"",""args"":[]}]"
,::1,http://localhost:84/aaohome/index/dashboard,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",1723827069,GET,,/images/favicon/favicon1.ico,,"lat_lng=22.512761_88.3944159; tkrid=fa2d2e4588cbd1407e1fdb424bb0189aa84e1945s%3A32%3A%2203f963cdb4b3fed3458498d2171ecf69%22%3B; YII_CSRF_TOKEN=6f9d7426e411a2aa101496581c6a3f6a47f09cdas%3A88%3A%22V1hkeXBlZm82ekIwQzlEUmZ3RldxSU05em5idnVEZVajfX_CZIf8NMwswChMkchwLWrxlr5VqpbJYTL0I5xV-Q%3D%3D%22%3B; PHPSESSID=khujpgk9l768kegplm16ki6bt3; _admin=b15c2e6259db666d8ab7add82162f690b62b5882s%3A98%3A%22b9fef104a610e43f1452e12a49e0ca56547158dfa%3A4%3A%7Bi%3A0%3Bs%3A2%3A%2230%22%3Bi%3A1%3Bs%3A7%3A%22puja.de%22%3Bi%3A2%3Bi%3A1200%3Bi%3A3%3Ba%3A0%3A%7B%7D%7D%22%3B",,404,CHttpException,0,"Unable to resolve the request ""images/favicon/favicon1.ico"".","C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php",286,"#0 C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php(141): CWebApplication->runController('images/favicon/...')
#1 C:\Projects\vendors\vendor\yiisoft\yii\framework\base\CApplication.php(185): CWebApplication->processRequest()
#2 C:\Projects\Staging\public_html\index.php(68): CApplication->run()
#3 {main}","[{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\web\\CWebApplication.php"",""line"":141,""function"":""runController"",""class"":""CWebApplication"",""type"":""->"",""args"":[""images\/favicon\/favicon1.ico""]},{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\base\\CApplication.php"",""line"":185,""function"":""processRequest"",""class"":""CWebApplication"",""type"":""->"",""args"":[]},{""file"":""C:\\Projects\\Staging\\public_html\\index.php"",""line"":68,""function"":""run"",""class"":""CApplication"",""type"":""->"",""args"":[]}]"
,::1,http://localhost:84/aaohome/index/dashboard,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",1723827069,GET,,/images/favicon/favicon-16x16.ico,,"lat_lng=22.512761_88.3944159; tkrid=fa2d2e4588cbd1407e1fdb424bb0189aa84e1945s%3A32%3A%2203f963cdb4b3fed3458498d2171ecf69%22%3B; YII_CSRF_TOKEN=6f9d7426e411a2aa101496581c6a3f6a47f09cdas%3A88%3A%22V1hkeXBlZm82ekIwQzlEUmZ3RldxSU05em5idnVEZVajfX_CZIf8NMwswChMkchwLWrxlr5VqpbJYTL0I5xV-Q%3D%3D%22%3B; PHPSESSID=khujpgk9l768kegplm16ki6bt3; _admin=b15c2e6259db666d8ab7add82162f690b62b5882s%3A98%3A%22b9fef104a610e43f1452e12a49e0ca56547158dfa%3A4%3A%7Bi%3A0%3Bs%3A2%3A%2230%22%3Bi%3A1%3Bs%3A7%3A%22puja.de%22%3Bi%3A2%3Bi%3A1200%3Bi%3A3%3Ba%3A0%3A%7B%7D%7D%22%3B",,404,CHttpException,0,"Unable to resolve the request ""images/favicon/favicon-16x16.ico"".","C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php",286,"#0 C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php(141): CWebApplication->runController('images/favicon/...')
#1 C:\Projects\vendors\vendor\yiisoft\yii\framework\base\CApplication.php(185): CWebApplication->processRequest()
#2 C:\Projects\Staging\public_html\index.php(68): CApplication->run()
#3 {main}","[{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\web\\CWebApplication.php"",""line"":141,""function"":""runController"",""class"":""CWebApplication"",""type"":""->"",""args"":[""images\/favicon\/favicon-16x16.ico""]},{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\base\\CApplication.php"",""line"":185,""function"":""processRequest"",""class"":""CWebApplication"",""type"":""->"",""args"":[]},{""file"":""C:\\Projects\\Staging\\public_html\\index.php"",""line"":68,""function"":""run"",""class"":""CApplication"",""type"":""->"",""args"":[]}]"
,::1,http://localhost:84/aaohome/vendor/add,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",1723835400,GET,,/images/logo2_outstation.jpg?v1.1,v1.1,"lat_lng=22.512761_88.3944159; tkrid=fa2d2e4588cbd1407e1fdb424bb0189aa84e1945s%3A32%3A%2203f963cdb4b3fed3458498d2171ecf69%22%3B; YII_CSRF_TOKEN=6f9d7426e411a2aa101496581c6a3f6a47f09cdas%3A88%3A%22V1hkeXBlZm82ekIwQzlEUmZ3RldxSU05em5idnVEZVajfX_CZIf8NMwswChMkchwLWrxlr5VqpbJYTL0I5xV-Q%3D%3D%22%3B; PHPSESSID=khujpgk9l768kegplm16ki6bt3",,404,CHttpException,0,"Unable to resolve the request ""images/logo2_outstation.jpg"".","C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php",286,"#0 C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php(141): CWebApplication->runController('images/logo2_ou...')
#1 C:\Projects\vendors\vendor\yiisoft\yii\framework\base\CApplication.php(185): CWebApplication->processRequest()
#2 C:\Projects\Staging\public_html\index.php(68): CApplication->run()
#3 {main}","[{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\web\\CWebApplication.php"",""line"":141,""function"":""runController"",""class"":""CWebApplication"",""type"":""->"",""args"":[""images\/logo2_outstation.jpg""]},{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\base\\CApplication.php"",""line"":185,""function"":""processRequest"",""class"":""CWebApplication"",""type"":""->"",""args"":[]},{""file"":""C:\\Projects\\Staging\\public_html\\index.php"",""line"":68,""function"":""run"",""class"":""CApplication"",""type"":""->"",""args"":[]}]"
,::1,http://localhost:84/aaohome/vendor/list,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",1723835478,GET,,/images/logo2_outstation.jpg?v1.1,v1.1,"lat_lng=22.512761_88.3944159; tkrid=fa2d2e4588cbd1407e1fdb424bb0189aa84e1945s%3A32%3A%2203f963cdb4b3fed3458498d2171ecf69%22%3B; YII_CSRF_TOKEN=6f9d7426e411a2aa101496581c6a3f6a47f09cdas%3A88%3A%22V1hkeXBlZm82ekIwQzlEUmZ3RldxSU05em5idnVEZVajfX_CZIf8NMwswChMkchwLWrxlr5VqpbJYTL0I5xV-Q%3D%3D%22%3B; PHPSESSID=khujpgk9l768kegplm16ki6bt3",,404,CHttpException,0,"Unable to resolve the request ""images/logo2_outstation.jpg"".","C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php",286,"#0 C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php(141): CWebApplication->runController('images/logo2_ou...')
#1 C:\Projects\vendors\vendor\yiisoft\yii\framework\base\CApplication.php(185): CWebApplication->processRequest()
#2 C:\Projects\Staging\public_html\index.php(68): CApplication->run()
#3 {main}","[{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\web\\CWebApplication.php"",""line"":141,""function"":""runController"",""class"":""CWebApplication"",""type"":""->"",""args"":[""images\/logo2_outstation.jpg""]},{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\base\\CApplication.php"",""line"":185,""function"":""processRequest"",""class"":""CWebApplication"",""type"":""->"",""args"":[]},{""file"":""C:\\Projects\\Staging\\public_html\\index.php"",""line"":68,""function"":""run"",""class"":""CApplication"",""type"":""->"",""args"":[]}]"
,::1,http://localhost:84/aaohome/vendor/add,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",1723837787,GET,,/images/logo2_outstation.jpg?v1.1,v1.1,"lat_lng=22.512761_88.3944159; tkrid=fa2d2e4588cbd1407e1fdb424bb0189aa84e1945s%3A32%3A%2203f963cdb4b3fed3458498d2171ecf69%22%3B; YII_CSRF_TOKEN=6f9d7426e411a2aa101496581c6a3f6a47f09cdas%3A88%3A%22V1hkeXBlZm82ekIwQzlEUmZ3RldxSU05em5idnVEZVajfX_CZIf8NMwswChMkchwLWrxlr5VqpbJYTL0I5xV-Q%3D%3D%22%3B; PHPSESSID=khujpgk9l768kegplm16ki6bt3",,404,CHttpException,0,"Unable to resolve the request ""images/logo2_outstation.jpg"".","C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php",286,"#0 C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php(141): CWebApplication->runController('images/logo2_ou...')
#1 C:\Projects\vendors\vendor\yiisoft\yii\framework\base\CApplication.php(185): CWebApplication->processRequest()
#2 C:\Projects\Staging\public_html\index.php(68): CApplication->run()
#3 {main}","[{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\web\\CWebApplication.php"",""line"":141,""function"":""runController"",""class"":""CWebApplication"",""type"":""->"",""args"":[""images\/logo2_outstation.jpg""]},{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\base\\CApplication.php"",""line"":185,""function"":""processRequest"",""class"":""CWebApplication"",""type"":""->"",""args"":[]},{""file"":""C:\\Projects\\Staging\\public_html\\index.php"",""line"":68,""function"":""run"",""class"":""CApplication"",""type"":""->"",""args"":[]}]"
,::1,http://localhost:84/aaohome/vendor/list,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",1723837810,GET,,/images/logo2_outstation.jpg?v1.1,v1.1,"lat_lng=22.512761_88.3944159; tkrid=fa2d2e4588cbd1407e1fdb424bb0189aa84e1945s%3A32%3A%2203f963cdb4b3fed3458498d2171ecf69%22%3B; YII_CSRF_TOKEN=6f9d7426e411a2aa101496581c6a3f6a47f09cdas%3A88%3A%22V1hkeXBlZm82ekIwQzlEUmZ3RldxSU05em5idnVEZVajfX_CZIf8NMwswChMkchwLWrxlr5VqpbJYTL0I5xV-Q%3D%3D%22%3B; PHPSESSID=khujpgk9l768kegplm16ki6bt3",,404,CHttpException,0,"Unable to resolve the request ""images/logo2_outstation.jpg"".","C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php",286,"#0 C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php(141): CWebApplication->runController('images/logo2_ou...')
#1 C:\Projects\vendors\vendor\yiisoft\yii\framework\base\CApplication.php(185): CWebApplication->processRequest()
#2 C:\Projects\Staging\public_html\index.php(68): CApplication->run()
#3 {main}","[{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\web\\CWebApplication.php"",""line"":141,""function"":""runController"",""class"":""CWebApplication"",""type"":""->"",""args"":[""images\/logo2_outstation.jpg""]},{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\base\\CApplication.php"",""line"":185,""function"":""processRequest"",""class"":""CWebApplication"",""type"":""->"",""args"":[]},{""file"":""C:\\Projects\\Staging\\public_html\\index.php"",""line"":68,""function"":""run"",""class"":""CApplication"",""type"":""->"",""args"":[]}]"
,::1,http://localhost:84/aaohome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",1723867652,GET,,/images/logo2_outstation.jpg?v1.0,v1.0,"lat_lng=22.512761_88.3944159; tkrid=fa2d2e4588cbd1407e1fdb424bb0189aa84e1945s%3A32%3A%2203f963cdb4b3fed3458498d2171ecf69%22%3B; PHPSESSID=kh83jkqhhd3msefo7dthss1tkr; YII_CSRF_TOKEN=86c0008f59cb29a4ad690bdae39736c880263092s%3A88%3A%22R2MyMXRxMnJBRWNxVmRIeFVHdXlZNG1hMGl1cVdFSTDz9bKoNl0ODpNDj9AfoW7DcrNu2hkU9cUz4B3rUGmaIA%3D%3D%22%3B",,404,CHttpException,0,"Unable to resolve the request ""images/logo2_outstation.jpg"".","C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php",286,"#0 C:\Projects\vendors\vendor\yiisoft\yii\framework\web\CWebApplication.php(141): CWebApplication->runController('images/logo2_ou...')
#1 C:\Projects\vendors\vendor\yiisoft\yii\framework\base\CApplication.php(185): CWebApplication->processRequest()
#2 C:\Projects\Staging\public_html\index.php(68): CApplication->run()
#3 {main}","[{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\web\\CWebApplication.php"",""line"":141,""function"":""runController"",""class"":""CWebApplication"",""type"":""->"",""args"":[""images\/logo2_outstation.jpg""]},{""file"":""C:\\Projects\\vendors\\vendor\\yiisoft\\yii\\framework\\base\\CApplication.php"",""line"":185,""function"":""processRequest"",""class"":""CWebApplication"",""type"":""->"",""args"":[]},{""file"":""C:\\Projects\\Staging\\public_html\\index.php"",""line"":68,""function"":""run"",""class"":""CApplication"",""type"":""->"",""args"":[]}]"
